"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 13:51:40 GMT 2025","Thu Aug 07 13:51:41 GMT 2025","1551","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 07 13:51:49 GMT 2025","Thu Aug 07 13:51:50 GMT 2025","1388","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Aug 07 13:51:50 GMT 2025","Thu Aug 07 13:51:50 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Thu Aug 07 13:51:46 GMT 2025","Thu Aug 07 13:51:49 GMT 2025","2384","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Aug 07 13:51:37 GMT 2025","Thu Aug 07 13:51:39 GMT 2025","1844","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 07 13:51:41 GMT 2025","Thu Aug 07 13:51:43 GMT 2025","1256","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 07 13:51:49 GMT 2025","Thu Aug 07 13:51:49 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Thu Aug 07 13:51:46 GMT 2025","Thu Aug 07 13:51:49 GMT 2025","2736","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Aug 07 13:51:44 GMT 2025","Thu Aug 07 13:51:46 GMT 2025","1395","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Aug 07 13:51:42 GMT 2025","Thu Aug 07 13:51:45 GMT 2025","2125","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Aug 07 13:51:37 GMT 2025","Thu Aug 07 13:51:41 GMT 2025","3143","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Aug 07 13:51:41 GMT 2025","Thu Aug 07 13:51:42 GMT 2025","1351","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
